TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47729.9800507386, -19.4625846133361, 502.100952148438, -20, 0.174864609281748, 494.552917480469, 28.6083507537842, -80.5997161865234, -287.590835847288, -102.014083325026, 15, 3.92419376021074, 12.1078762105342, 8.00206104749319, 2.0377646985249, 6.47767058171416, 13.7088978145586, 61.7263394903227
47730.0600507386, -19.592879091043, 500.543853759766, -20, 0.510870687619712, 496.631988525391, 28.6083507537842, -80.5997161865234, -287.590835847288, -102.014083325026, 15, 4.15774137938349, 11.3952654000985, 8.16112666600205, 2.17628710681105, 6.57017005178673, 13.131947461394, 59.9241080756922
47730.1400507386, -19.742407086584, 499.021697998047, -20, 0.456479909581484, 519.919494628906, 28.6083526611328, -80.5997085571289, -286.742485882043, -101.801995833714, 15, 4.39262191111384, 11.1118978203082, 7.98509404818831, 2.30884933132146, 6.24909861509582, 12.7292688301539, 60.5422969550743
47730.2200507386, -19.8570880179334, 497.380126953125, -20, 0.353902003750872, 524.891845703125, 28.6083545684814, -80.5997085571289, -286.742485882043, -101.589908342403, 15, 4.64274963760826, 10.0782856216464, 7.91510517604713, 2.44480514625475, 5.98088930245381, 11.703543172744, 59.2290895449223
47730.2800507386, -19.9327714911426, 495.858062744141, -20, 0.226313489968833, 510.855682373047, 28.6083564758301, -80.5997009277344, -285.894135916798, -101.377820851092, 15, 4.83389522905557, 10.9247291249853, 7.95116004957852, 2.54533864459009, 5.92109207418016, 12.4089818847708, 61.4397586585291
47730.3600507386, -20.042643648815, 494.370880126953, -20, 0.519457224203448, 514.990783691406, 28.6083583831787, -80.5997009277344, -285.894135916798, -101.165733359781, 15, 5.08527817064344, 10.1792212464156, 7.93419305027361, 2.67221051994243, 5.80649092883447, 11.703681821455, 60.2107336783811
47730.4400507386, -20.1678558411124, 492.848937988281, -20, 0.471616628382479, 534.364562988281, 28.6083583831787, -80.5996932983398, -285.045785951553, -101.165733359781, 15, 5.33569427274983, 9.89370466458073, 8.09325866878247, 2.79452885878697, 5.88897817209298, 11.4986884081657, 59.156866051411
47730.5200507386, -20.2628650251268, 491.207214355469, -20, 0.383159103407392, 538.503845214844, 28.608362197876, -80.5996932983398, -285.045785951553, -100.741558377159, 15, 5.59499964099957, 8.8732483060816, 7.63514968748239, 2.92086575890762, 5.16127533195469, 10.2547489118595, 59.7488746508853
47730.5800507386, -20.3238658441116, 490.255889892578, -20, 0.272173402648181, 525.607666015625, 28.6083641052246, -80.5996856689453, -284.197435986309, -100.529470885847, 15, 5.79107987046152, 9.76777112854223, 7.88329205235895, 3.01489582530809, 5.35635721476309, 11.127500449801, 61.1789377413033
47730.6600507385, -20.4113982412025, 488.613952636719, -20, 0.504199610938981, 526.412963867188, 28.6083641052246, -80.5996856689453, -284.197435986309, -100.529470885847, 15, 6.04645352445627, 9.02378489686059, 8.04235767086779, 3.13529632437316, 5.4439779281949, 10.5271075182287, 58.830999411535
